,R@1,R@10,R@50,R@100,Both@1,Both@10,Both@50,Both@100,nDCG@10,nDCG@20,MRR
TF‑IDF,0.20199750312109863,0.5268414481897628,0.6750312109862672,0.7253433208489388,0.00149812734082397,0.2664169787765293,0.4541822721598002,0.5298377028714107,0.43779460957890665,0.4598031874532654,0.5367729782898745
BM25,0.2620474406991261,0.5378277153558052,0.6569288389513108,0.699250936329588,0.0024968789013732834,0.2704119850187266,0.42696629213483145,0.4893882646691635,0.4875050617128146,0.5059108515151961,0.6250206343619056
bge-m3,0.3581772784019975,0.7284644194756554,0.8551810237203495,0.8940074906367041,0.00299625468164794,0.4786516853932584,0.7113607990012485,0.7882646691635455,0.6656510228549085,0.6849281210365092,0.8169124516459904
nomic-embed-v2,0.34169787765293386,0.7270911360799002,0.848314606741573,0.8895131086142322,0.0019975031210986267,0.48764044943820223,0.7008739076154806,0.7820224719101123,0.6566248439653686,0.6742630140401172,0.7922233205827558
qwen3-embedding-0.6B,0.3488139825218477,0.7322097378277154,0.8607990012484394,0.8961298377028714,0.0022471910112359553,0.4961298377028714,0.7233458177278402,0.7932584269662921,0.6634657596416241,0.6831950485636954,0.8022747087080944
snowflake-arctic-embed-v2,0.3453183520599251,0.7377028714107365,0.8671660424469413,0.9058676654182272,0.0022471910112359553,0.49962546816479403,0.735330836454432,0.8122347066167291,0.662385947876195,0.6825605335539113,0.7982868692496826
